Name,Team,Position,Price,Points
Raheem Sterling,MCI,MID,116,14.69
David Silva,MCI,MID,85,13.53
Marcus Rashford,MUN,FWD,76,13.2
Bernardo Silva,MCI,MID,75,12.28
Riyad Mahrez,MCI,MID,82,11.58
Harry Kane,TOT,FWD,125,10.95
Romelu Lukaku,MUN,FWD,108,10.9
Raul Jimenez,WOL,FWD,68,10.55
Gonzalo Higuain,CHE,FWD,96,10.4
Ederson,MCI,GK,56,9.77
Kepa Arrizabalaga,CHE,GK,54,9.71
Eden Hazard,CHE,MID,109,9.5
Pedro,CHE,MID,64,9.35
Matthew Doherty,WOL,DEF,54,9.32
Troy Deeney,WAT,FWD,59,9.25
Victor Camarasa,CAR,MID,45,9.2
Sergio Aguero,MCI,FWD,118,8.91
David De Gea,MUN,GK,57,8.89
Cesar Azpilicueta,CHE,DEF,63,8.73
Nicolas Otamendi,MCI,DEF,60,8.72
David Luiz,CHE,DEF,59,8.65
Kyle Walker,MCI,DEF,64,8.62
Christian Eriksen,TOT,MID,92,8.62
Wilfried Zaha,CPL,FWD,69,8.53
Oleksandr Zinchenko,MCI,DEF,47,8.07
Anthony Martial,MUN,MID,72,8.45
Emerson Palmieri,CHE,DEF,52,8.42
Andros Townsend,CPL,MID,58,8.36
Vincent Kompany,MCI,DEF,52,8.34
Wayne Hennessey,CPL,GK,45,8.31
Anthony Knockaert,BRI,MID,52,8.27
Gerard Deulofeu,WAT,MID,56,8.16
Rui Patricio,WOL,GK,45,8.13
Antonio Rudiger,CHE,DEF,59,8.11
Ilkay Gundogan,MCI,MID,54,8.11
Aleksandar Mitrovic,FUL,FWD,64,8.07
Paul Pogba,MUN,MID,89,8.01
N'Golo Kante,CHE,MID,50,7.96
Hugo Lloris,TOT,GK,55,7.93
Ryan Babel,FUL,MID,55,7.84
Diogo Jota,WOL,MID,61,7.75
Ben Foster,WAT,GK,46,7.66
Romain Saiss,WOL,DEF,42,7.65
Mat Ryan,BRI,GK,44,7.65
Jeff Schlupp,CPL,MID,45,7.97
Dele Alli,TOT,MID,88,7.64
Luke Shaw,MUN,DEF,51,7.64
Michy Batshuayi,CPL,FWD,65,7.44
Leander Dendoncker,WOL,MID,43,7.41
James McArthur,CPL,MID,48,7.36
Mateo Kovacic,CHE,MID,57,7.26
Ashley Young,MUN,DEF,57,7.26
Victor Lindelof,MUN,DEF,51,7.21
Alexandre Lacazette,ARS,FWD,94,7.12
Son Heung-Min,TOT,MID,86,7.1
Danny Rose,TOT,DEF,58,7.06
Josh Murphy,CAR,MID,48,7.01
Jorginho,CHE,MID,46,6.97
Neil Etheridge,CAR,GK,47,6.96
Glenn Murray,BRI,FWD,63,6.87
Sergio Rico,FUL,GK,44,6.86
Joao Moutinho,WOL,MID,53,6.83
Roberto Firmino,LIV,FWD,92,6.83
Oumar Niasse,CAR,FWD,50,6.82
Patrick van Aanholt,CPL,DEF,54,6.73
Serge Aurier,TOT,DEF,57,6.71
James Tomkins,CPL,DEF,43,6.62
Luka Milivojevic,CPL,MID,63,6.58
Chris Smalling,MUN,DEF,56,6.51
Will Hughes,WAT,MID,49,6.45
Alireza Jahanbakhsh,BRI,MID,67,6.45
Willy Boly,WOL,DEF,46,6.43
Aaron Wan-Bissaka,CPL,DEF,45,6.37
Moussa Sissoko,TOT,MID,49,6.23
Pierre-Emerick Aubameyang,ARS,FWD,108,6.23
Tom Cairney,FUL,MID,46,6.2
Fred,MUN,MID,54,6.2
Jamie Vardy,LEI,FWD,91,6.19
Andre Zambo Anguissa,FUL,MID,44,6.18
Yves Bissouma,BRI,MID,46,6.18
Jose Holebas,WAT,DEF,48,6.16
Ashley Barnes,BUR,FWD,57,6.13
Toby Alderweireld,TOT,DEF,60,6.09
Scott Dann,CPL,DEF,44,6.07
Aron Gunnarsson,CAR,MID,44,6.05
Davy Propper,BRI,MID,48,5.98
Etienne Capoue,WAT,MID,48,5.92
Jan Vertonghen,TOT,DEF,59,5.86
Sadio Mane,LIV,MID,100,5.84
Junior Hoilett,CAR,MID,50,5.82
Adrian Mariappa,WAT,DEF,42,5.66
Conor Coady,WOL,DEF,45,5.65
Jonny,WOL,DEF,43,5.61
Jean Michael Seri,FUL,MID,49,5.6
Shane Duffy,BRI,DEF,47,5.58
Roberto Pereyra,WAT,MID,60,5.46
Ruben Neves,WOL,MID,49,5.44
Abdoulaye Doucoure,WAT,MID,59,5.4
Dale Stephens,BRI,MID,43,5.36
Salomon Rondon,NEW,FWD,60,5.23
Lewis Dunk,BRI,DEF,44,5.21
Eric Dier,TOT,MID,47,5.16
Joshua King,BOR,FWD,65,5.08
Craig Cathcart,WAT,DEF,45,5.05
Nemanja Matic,MUN,MID,50,5.04
Ryan Sessegnon,FUL,MID,60,4.96
Daryl Janmaat,WAT,DEF,49,4.95
Bernardo,BRI,DEF,42,4.92
Callum Wilson,BOR,FWD,65,4.74
Nathan Redmond,SOT,MID,53,4.74
Mohamed Salah,LIV,MID,133,4.73
Ayoze Perez,NEW,FWD,61,4.7
Harvey Barnes,LEI,MID,55,4.69
Bernd Leno,ARS,GK,48,4.64
Mesut Ozil,ARS,MID,79,4.64
Chris Wood,BUR,FWD,62,4.63
Martin Montoya,BRI,DEF,43,4.59
Harry Arter,CAR,MID,49,4.5
Richarlison,EVE,MID,65,4.47
James Maddison,LEI,MID,68,4.42
Alisson,LIV,GK,60,4.37
Sead Kolasinac,ARS,DEF,50,4.36
Ryan Fraser,BOR,MID,62,4.36
Gylfi Sigurdsson,EVE,MID,73,4.32
Johann Gudmundsson,BUR,MID,55,4.3
Kasper Schmeichel,LEI,GK,50,4.25
Javier Hernandez,WHU,FWD,61,4.2
Angus Gunn,SOT,GK,43,4.1
Trent Alexander-Arnold,LIV,DEF,56,4.09
Charlie Austin,SOT,FWD,55,4.02
Tom Heaton,BUR,GK,48,3.99
Lukasz Fabianski,WHU,GK,48,3.99
Robert Snodgrass,WHU,MID,50,3.95
James Ward-Prowse,SOT,MID,51,3.94
Karlan Ahearne-Grant,HUD,FWD,50,3.92
Jordan Pickford,EVE,GK,49,3.91
Ainsley Maitland-Niles,ARS,MID,44,3.9
Laurent Koscielny,ARS,DEF,54,3.89
Youri Tielemans,LEI,MID,60,3.84
Manuel Lanzini,WHU,MID,64,3.8
Matt Ritchie,NEW,MID,58,3.79
Sokratis Papastathopoulos,ARS,DEF,51,3.75
Nacho Monreal,ARS,DEF,54,3.69
Jonas Lossl,HUD,GK,44,3.66
Demarai Gray,LEI,MID,54,3.64
Artur Boruc,BOR,GK,41,3.62
Lucas Digne,EVE,DEF,52,3.58
Ricardo Pereira,LEI,DEF,54,3.58
Ashley Westwood,BUR,MID,46,3.55
Georginio Wijnaldum,LIV,MID,55,3.54
Martin Dubravka,NEW,GK,50,3.46
Ben Chilwell,LEI,DEF,50,3.41
Adam Lallana,LIV,MID,69,3.41
Wes Morgan,LEI,DEF,45,3.4
Pierre-Emile Hojbjerg,SOT,MID,44,3.38
Felipe Anderson,WHU,MID,72,3.37
Calum Chambers,FUL,DEF,42,3.35
Dominic Calvert-Lewin,EVE,FWD,53,3.35
Miguel Almiron,NEW,MID,60,3.33
Mark Noble,WHU,MID,48,3.33
Joe Bryan,FUL,DEF,48,3.31
Joel Matip,LIV,DEF,49,3.31
Matteo Guendouzi,ARS,MID,44,3.3
Virgil van Dijk,LIV,DEF,66,3.3
Andrew Robertson,LIV,DEF,69,3.3
Maya Yoshida,SOT,DEF,41,3.3
Steve Mounie,HUD,FWD,58,3.29
Isaac Hayden,NEW,MID,44,3.28
Sean Morrison,CAR,DEF,47,3.26
Seamus Coleman,EVE,DEF,52,3.23
Aaron Mooy,HUD,MID,50,3.21
Yann Valery,SOT,DEF,40,3.21
Granit Xhaka,ARS,MID,52,3.19
Jonny Evans,LEI,DEF,48,3.17
Jan Bednarek,SOT,DEF,40,3.16
Dwight Mcneil,BUR,MID,44,3.15
Jannik Vestergaard,SOT,DEF,46,3.11
James Tarkowski,BUR,DEF,47,3.05
Philip Billing,HUD,MID,45,3.04
Alex Pritchard,HUD,MID,48,3.04
Bernard,EVE,MID,59,3.03
Fabinho,LIV,MID,55,3.02
Ryan Bertrand,SOT,DEF,48,3
Wilfred Ndidi,LEI,MID,49,2.98
Nathan Ake,BOR,DEF,51,2.96
Jack Cork,BUR,MID,46,2.95
Bruno Ecuele Manga,CAR,DEF,44,2.93
Tim Ream,FUL,DEF,42,2.93
Idrissa Gueye,EVE,MID,47,2.92
Jefferson Lerma,BOR,MID,45,2.9
Timothy Fosu-Mensah,FUL,DEF,45,2.89
Ryan Fredericks,WHU,DEF,45,2.85
Jordon Ibe,BOR,MID,50,2.83
Ben Mee,BUR,DEF,46,2.83
Aaron Cresswell,WHU,DEF,50,2.82
Issa Diop,WHU,DEF,44,2.78
Declan Rice,WHU,DEF,47,2.74
Charlie Taylor,BUR,DEF,44,2.73
Andre Gomes,EVE,MID,54,2.7
Michael Keane,EVE,DEF,48,2.68
Yerry Mina,EVE,DEF,54,2.67
Oriol Romeu,SOT,MID,42,2.67
Fabian Balbuena,WHU,DEF,42,2.66
Phillip Bardsley,BUR,DEF,42,2.59
Joe Bennett,CAR,DEF,44,2.58
David Brooks,BOR,MID,51,2.55
Terence Kongolo,HUD,DEF,43,2.55
Lee Peltier,CAR,DEF,39,2.54
Mohamed Diame,NEW,MID,48,2.53
Tommy Smith,HUD,DEF,44,2.25
Juninho Bacuna,HUD,DEF,42,2.2
Erik Durm,HUD,DEF,44,2.16
Mathias Jorgensen,HUD,DEF,44,2.12
Chris Mepham,BOR,DEF,45,2.09
Charlie Daniels,BOR,DEF,41,2.04
Nathaniel Clyne,BOR,DEF,44,1.98
DeAndre Yedlin,NEW,DEF,45,1.91
Florian Lejeune,NEW,DEF,44,1.84
Paul Dummett,NEW,DEF,44,1.79
Federico Fernandez,NEW,DEF,44,1.65
