Name,Team,Position,Price,Points
Sergio Aguero,MCI,FWD,119,6.69
Anthony Martial,MUN,FWD,72,6.63
Salomon Rondon,NEW,FWD,59,6.49
Chris Wood,BUR,FWD,63,6.35
Mohamed Salah,LIV,MID,133,6.34
Marko Arnautovic,WHU,FWD,67,6.28
Wilfried Zaha,CPL,FWD,69,6.20
Ryan Fraser,BOR,MID,63,6.00
Raheem Sterling,MCI,MID,117,5.87
Roberto Firmino,LIV,FWD,93,5.79
Nathan Redmond,SOT,MID,54,5.68
Bernardo Silva,MCI,MID,77,5.66
Alexandre Lacazette,ARS,FWD,94,5.65
Aleksandar Mitrovic,FUL,FWD,63,5.58
Sadio Mane,LIV,MID,102,5.56
Jamie Vardy,LEI,FWD,90,5.49
Eden Hazard,CHE,MID,109,5.47
Callum Wilson,BOR,FWD,68,5.46
Pierre-Emerick Aubameyang,ARS,FWD,108,5.11
Christian Eriksen,TOT,MID,92,5.07
Juan Mata,MUN,MID,61,5.04
Trent Alexander-Arnold,LIV,DEF,57,5.02
Marcus Rashford,MUN,FWD,73,5.01
Michail Antonio,WHU,MID,68,5.00
Felipe Anderson,WHU,MID,69,4.95
Dominic Calvert-Lewin,EVE,FWD,54,4.84
Gonzalo Higuain,CHE,FWD,90,4.82
Alisson,LIV,GK,59,4.79
Ederson,MCI,GK,57,4.79
Mesut Ozil,ARS,MID,79,4.68
Paul Pogba,MUN,MID,85,4.68
Fraser Forster,SOT,GK,42,4.65
David Silva,MCI,MID,85,4.63
Andre Gray,WAT,FWD,59,4.61
Kyle Walker,MCI,DEF,64,4.58
David De Gea,MUN,GK,57,4.57
Ayoze Perez,NEW,FWD,61,4.52
Theo Walcott,EVE,MID,59,4.46
Karlan Ahearne-Grant,HUD,FWD,50,4.46
Raul Jimenez,WOL,FWD,70,4.43
Glenn Murray,BRI,FWD,61,4.41
Diogo Jota,WOL,MID,63,4.40
Pedro,CHE,MID,62,4.40
Ryan Babel,FUL,MID,56,4.37
Jordan Henderson,LIV,MID,53,4.36
Shane Long,SOT,FWD,47,4.35
James Milner,LIV,MID,56,4.32
Hugo Lloris,TOT,GK,54,4.27
Andrew Robertson,LIV,DEF,68,4.25
Solly March,BRI,MID,47,4.21
Ruben Loftus-Cheek,CHE,MID,52,4.20
Lucas Moura,TOT,FWD,68,4.20
James Maddison,LEI,MID,66,4.19
Bobby Reid,CAR,FWD,52,4.19
Aymeric Laporte,MCI,DEF,63,4.15
Fernando Llorente,TOT,FWD,51,4.15
Vicente Guaita,CPL,GK,43,4.14
Virgil van Dijk,LIV,DEF,67,4.09
Abdoulaye Doucoure,WAT,MID,59,4.08
Jan Bednarek,SOT,DEF,40,4.07
Ilkay Gundogan,MCI,MID,54,4.05
Roberto Pereyra,WAT,MID,59,4.04
Luke Shaw,MUN,DEF,51,4.04
Matt Targett,SOT,DEF,42,4.02
Junior Hoilett,CAR,MID,50,4.02
Andros Townsend,CPL,MID,56,4.02
Kepa Arrizabalaga,CHE,GK,54,4.01
Bernd Leno,ARS,GK,49,4.01
Heurelho Gomes,WAT,GK,42,3.99
Oleksandr Zinchenko,MCI,DEF,47,3.99
Ashley Young,MUN,DEF,57,3.97
Gylfi Sigurdsson,EVE,MID,74,3.97
James Ward-Prowse,SOT,MID,51,3.96
Troy Deeney,WAT,FWD,58,3.94
Kasper Schmeichel,LEI,GK,50,3.92
Martin Dubravka,NEW,GK,50,3.91
Pascal Gross,BRI,MID,67,3.90
Sergio Rico,FUL,GK,44,3.90
Ryan Bertrand,SOT,DEF,48,3.88
John Stones,MCI,DEF,52,3.87
Jordan Ayew,CPL,FWD,57,3.87
Marc Albrighton,LEI,MID,51,3.83
Will Hughes,WAT,MID,49,3.82
Joel Matip,LIV,DEF,49,3.82
Leander Dendoncker,WOL,MID,43,3.81
Phil Jones,MUN,DEF,51,3.79
Ryan Sessegnon,FUL,MID,60,3.79
Christian Atsu,NEW,MID,51,3.75
Lukasz Fabianski,WHU,GK,47,3.74
Tom Heaton,BUR,GK,48,3.71
Marcos Alonso,CHE,DEF,62,3.69
Jordan Pickford,EVE,GK,49,3.69
Matt Ritchie,NEW,MID,58,3.67
Yann Valery,SOT,DEF,41,3.65
Mark Travers,BOR,GK,40,3.64
Granit Xhaka,ARS,MID,52,3.62
Youri Tielemans,LEI,MID,60,3.62
Jonas Lossl,HUD,GK,44,3.61
Joao Moutinho,WOL,MID,52,3.61
Jack Stephens,SOT,DEF,42,3.61
Tom Cairney,FUL,MID,46,3.60
Robert Snodgrass,WHU,MID,50,3.60
Joshua King,BOR,FWD,64,3.60
Dwight Mcneil,BUR,MID,44,3.57
James McArthur,CPL,MID,48,3.54
Dele Alli,TOT,DEF,88,3.51
Nathaniel Mendez-Laing,CAR,MID,48,3.49
Ashley Barnes,BUR,FWD,56,3.48
Davinson Sanchez,TOT,DEF,58,3.47
Victor Lindelof,MUN,DEF,49,3.47
Pierre-Emile Hojbjerg,SOT,MID,44,3.47
Luka Milivojevic,CPL,MID,65,3.46
Rui Patricio,WOL,GK,45,3.45
Mario Lemina,SOT,MID,47,3.45
Bernard,EVE,MID,59,3.44
Scott Dann,CPL,DEF,44,3.42
Ashley Westwood,BUR,MID,46,3.42
Neil Etheridge,CAR,GK,46,3.41
Mat Ryan,BRI,GK,44,3.40
Daniel Ward,CAR,MID,43,3.38
Nacho Monreal,ARS,DEF,54,3.38
Joe Bryan,FUL,DEF,48,3.38
Anthony Knockaert,BRI,MID,52,3.31
Patrick van Aanholt,CPL,DEF,55,3.31
Ross Barkley,CHE,MID,50,3.30
Fabinho,LIV,MID,55,3.24
Calum Chambers,FUL,MID,42,3.23
Ander Herrera,MUN,MID,50,3.23
Fernandinho,MCI,MID,53,3.22
Jorginho,CHE,MID,46,3.21
Moussa Sissoko,TOT,DEF,49,3.19
Toby Alderweireld,TOT,DEF,60,3.12
Juninho Bacuna,HUD,DEF,42,3.10
Isaac Mbenza,HUD,MID,59,3.10
Cheikhou Kouyate,CPL,MID,47,3.09
Ben Chilwell,LEI,DEF,50,3.08
Mark Noble,WHU,MID,48,3.07
Nemanja Matic,MUN,MID,50,3.06
Idrissa Gueye,EVE,MID,47,3.06
Martin Kelly,CPL,DEF,39,3.00
Ben Davies,TOT,DEF,56,2.99
Hamza Choudhury,LEI,MID,43,2.93
Adrian Mariappa,WAT,DEF,42,2.93
Eric Dier,TOT,MID,47,2.93
Isaac Hayden,NEW,MID,43,2.90
Ricardo Pereira,LEI,DEF,53,2.87
Lucas Torreira,ARS,MID,47,2.87
Aaron Mooy,HUD,MID,50,2.85
Ainsley Maitland-Niles,ARS,MID,44,2.85
