Name,Team,Position,Price,Points
Romelu Lukaku,MUN,FWD,108,13.8
Alexandre Lacazette,ARS,FWD,94,13.49
Andre Gray,WAT,FWD,59,13.33
Raul Jimenez,WOL,FWD,69,12.89
Raheem Sterling,MCI,MID,115,11.41
Danny Ings,SOT,FWD,54,11.04
Christian Eriksen,TOT,MID,93,10.93
Kevin De Bruyne,MCI,MID,97,10.21
Alex Iwobi,ARS,MID,54,10.04
Pierre-Emerick Aubameyang,ARS,FWD,109,9.79
Glenn Murray,BRI,FWD,64,9.69
David Silva,MCI,MID,85,9.44
Bernardo Silva,MCI,MID,76,9.29
Sergio Aguero,MCI,FWD,117,9.28
Marcus Rashford,MUN,FWD,74,8.95
Ederson,MCI,GK,56,8.81
Abdoulaye Doucoure,WAT,MID,59,8.77
Lucas Moura,TOT,FWD,67,8.67
Rui Patricio,WOL,GK,45,8.62
Jesse Lingard,MUN,MID,67,8.6
Nathan Redmond,SOT,MID,53,8.59
Diogo Jota,WOL,MID,62,8.52
Ben Foster,WAT,GK,46,8.47
Bernd Leno,ARS,GK,49,8.43
Matthew Doherty,WOL,DEF,53,8.42
Hugo Lloris,TOT,GK,54,8.2
Roberto Firmino,LIV,FWD,93,7.98
Joao Moutinho,WOL,MID,52,7.94
Paul Pogba,MUN,MID,87,7.93
Angus Gunn,SOT,GK,43,7.83
Romain Saiss,WOL,DEF,42,7.72
David De Gea,MUN,GK,57,7.71
Adam Masina,WAT,DEF,43,7.64
Mesut Ozil,ARS,MID,79,7.59
Gerard Deulofeu,WAT,MID,56,7.58
Will Hughes,WAT,MID,49,7.54
Pierre-Emile Hojbjerg,SOT,MID,44,7.54
Leander Dendoncker,WOL,MID,43,7.53
Aymeric Laporte,MCI,DEF,61,7.51
Fernandinho,MCI,MID,53,7.48
Mat Ryan,BRI,GK,44,7.28
Roberto Pereyra,WAT,MID,60,7.24
James Ward-Prowse,SOT,MID,51,7.17
Willy Boly,WOL,DEF,47,6.88
Son Heung-Min,TOT,MID,88,6.81
Pascal Gross,BRI,MID,67,6.69
Kyle Walker,MCI,DEF,64,6.62
Laurent Koscielny,ARS,DEF,54,6.58
Adrian Mariappa,WAT,DEF,42,6.48
John Stones,MCI,DEF,52,6.47
Jonny,WOL,DEF,43,6.4
Kiko,WAT,DEF,42,6.4
Sead Kolasinac,ARS,DEF,50,6.29
Moussa Sissoko,TOT,MID,49,6.28
Alireza Jahanbakhsh,BRI,MID,67,6.27
Ainsley Maitland-Niles,ARS,MID,44,6.25
Ben Davies,TOT,DEF,56,6.2
Conor Coady,WOL,DEF,45,6.19
Benjamin Mendy,MCI,DEF,61,6.15
Granit Xhaka,ARS,MID,52,6.15
Nacho Monreal,ARS,DEF,54,6.09
Kieran Trippier,TOT,DEF,60,6.08
Jamie Vardy,LEI,FWD,92,6
Shkodran Mustafi,ARS,DEF,54,6
Sadio Mane,LIV,MID,101,5.97
Craig Cathcart,WAT,DEF,45,5.93
Ruben Neves,WOL,MID,49,5.89
Chris Wood,BUR,FWD,63,5.88
Eden Hazard,CHE,MID,110,5.88
Toby Alderweireld,TOT,DEF,60,5.84
Maya Yoshida,SOT,DEF,41,5.82
Callum Wilson,BOR,FWD,66,5.77
Aleksandar Mitrovic,FUL,FWD,63,5.7
Bernardo,BRI,DEF,42,5.67
Dale Stephens,BRI,MID,43,5.62
Jannik Vestergaard,SOT,DEF,46,5.59
Fred,MUN,MID,53,5.59
Davy Propper,BRI,MID,48,5.58
Solly March,BRI,MID,47,5.58
Yann Valery,SOT,DEF,41,5.51
Wilfried Zaha,CPL,FWD,69,5.5
Trent Alexander-Arnold,LIV,DEF,55,5.49
Diogo Dalot,MUN,DEF,53,5.48
Jan Bednarek,SOT,DEF,40,5.45
Jan Vertonghen,TOT,DEF,59,5.42
Etienne Capoue,WAT,MID,48,5.38
Davinson Sanchez,TOT,DEF,58,5.38
Callum Hudson-Odoi,CHE,MID,42,5.36
Ryan Bertrand,SOT,DEF,48,5.35
Harry Winks,TOT,MID,55,5.35
Ryan Fraser,BOR,MID,63,5.34
Salomon Rondon,NEW,FWD,60,5.34
Victor Lindelof,MUN,DEF,50,5.2
Oriol Romeu,SOT,MID,42,5.14
Gonzalo Higuain,CHE,FWD,92,5.13
Ashley Young,MUN,DEF,57,5.06
Ander Herrera,MUN,MID,50,5.05
Kepa Arrizabalaga,CHE,GK,54,4.91
Mohamed Salah,LIV,MID,132,4.9
Alisson,LIV,GK,59,4.9
Shane Duffy,BRI,DEF,48,4.77
Ayoze Perez,NEW,FWD,61,4.74
James Maddison,LEI,MID,69,4.71
Ruben Loftus-Cheek,CHE,MID,52,4.71
Chris Smalling,MUN,DEF,56,4.7
Ashley Barnes,BUR,FWD,57,4.68
Karlan Ahearne-Grant,HUD,FWD,50,4.6
Cesar Azpilicueta,CHE,DEF,64,4.56
Gylfi Sigurdsson,EVE,MID,74,4.52
