Name,Team,Position,Price,Points
Victor Camarasa,CAR,MID,45,9.70
Glenn Murray,BRI,FWD,63,9.46
Mat Ryan,BRI,GK,44,8.80
Bernardo,BRI,DEF,42,8.41
Anthony Knockaert,BRI,MID,52,8.05
Romelu Lukaku,MUN,FWD,108,7.65
Neil Etheridge,CAR,GK,47,7.62
Roberto Firmino,LIV,FWD,93,7.59
Oumar Niasse,CAR,FWD,50,7.46
Shane Duffy,BRI,DEF,47,7.34
Josh Murphy,CAR,MID,48,7.32
Yves Bissouma,BRI,MID,46,7.30
Lewis Dunk,BRI,DEF,44,7.02
Alexandre Lacazette,ARS,FWD,94,6.96
Jamie Vardy,LEI,FWD,92,6.93
Alireza Jahanbakhsh,BRI,MID,67,6.87
Junior Hoilett,CAR,MID,50,6.76
Marcus Rashford,MUN,FWD,75,6.70
Martin Montoya,BRI,DEF,43,6.47
Sean Morrison,CAR,DEF,47,6.38
Raul Jimenez,WOL,FWD,68,6.15
Davy Propper,BRI,MID,48,6.15
Christian Eriksen,TOT,MID,92,6.11
Aron Gunnarsson,CAR,MID,44,6.00
Dale Stephens,BRI,MID,43,6.00
Harry Kane,TOT,FWD,126,5.90
Sadio Mane,LIV,MID,101,5.90
Aleksandar Mitrovic,FUL,FWD,63,5.67
Wilfried Zaha,CPL,FWD,69,5.66
Raheem Sterling,MCI,MID,115,5.65
Joe Bennett,CAR,DEF,44,5.41
Ashley Barnes,BUR,FWD,57,5.20
Eden Hazard,CHE,MID,111,5.20
Harry Arter,CAR,MID,49,5.19
Bruno Ecuele Manga,CAR,DEF,44,5.18
Callum Wilson,BOR,FWD,66,5.17
Bernardo Silva,MCI,MID,76,5.15
David Silva,MCI,MID,85,5.07
Troy Deeney,WAT,FWD,59,5.02
Callum Hudson-Odoi,CHE,MID,42,5.01
Chris Wood,BUR,FWD,62,5.00
Lee Peltier,CAR,DEF,39,4.99
Gylfi Sigurdsson,EVE,MID,73,4.95
Kevin De Bruyne,MCI,MID,97,4.88
Salomon Rondon,NEW,FWD,60,4.87
Jesse Lingard,MUN,MID,67,4.83
Ryan Fraser,BOR,MID,63,4.82
James Maddison,LEI,MID,69,4.81
Hugo Lloris,TOT,GK,54,4.80
Richarlison,EVE,MID,65,4.76
Ederson,MCI,GK,56,4.72
Ayoze Perez,NEW,FWD,61,4.69
Kieran Trippier,TOT,DEF,60,4.67
David De Gea,MUN,GK,57,4.52
Mohamed Salah,LIV,MID,132,4.51
Kasper Schmeichel,LEI,GK,50,4.51
Tom Heaton,BUR,GK,48,4.45
Gonzalo Higuain,CHE,FWD,94,4.44
Sergio Aguero,MCI,FWD,117,4.41
Alisson,LIV,GK,59,4.40
Nathan Redmond,SOT,MID,53,4.38
Ruben Loftus-Cheek,CHE,MID,52,4.35
Dele Alli,TOT,MID,88,4.35
Aymeric Laporte,MCI,DEF,60,4.35
Jordan Pickford,EVE,GK,49,4.32
Ben Chilwell,LEI,DEF,51,4.29
Toby Alderweireld,TOT,DEF,60,4.28
Diogo Dalot,MUN,DEF,53,4.24
Alex Iwobi,ARS,MID,54,4.23
Karlan Ahearne-Grant,HUD,FWD,50,4.21
Harvey Barnes,LEI,MID,55,4.20
Ryan Babel,FUL,MID,55,4.19
Angus Gunn,SOT,GK,43,4.18
James Milner,LIV,MID,56,4.17
Abdoulaye Doucoure,WAT,MID,59,4.16
Joshua King,BOR,FWD,66,4.15
Youri Tielemans,LEI,MID,61,4.15
Dominic Calvert-Lewin,EVE,FWD,54,4.12
Danny Rose,TOT,DEF,58,4.11
Matt Ritchie,NEW,MID,58,4.10
Rui Patricio,WOL,GK,45,4.08
Trent Alexander-Arnold,LIV,DEF,55,4.07
Jan Vertonghen,TOT,DEF,59,4.07
