Name,Team,Position,Price,Points
Roberto Firmino,LIV,FWD,93,8.3
Alexandre Lacazette,ARS,FWD,94,6.99
Aleksandar Mitrovic,FUL,FWD,63,6.86
Sadio Mane,LIV,MID,100,6.69
Sergio Aguero,MCI,FWD,118,6.61
Raheem Sterling,MCI,MID,116,6.56
Salomon Rondon,NEW,FWD,59,6.42
Chris Wood,BUR,FWD,63,6.3
Trent Alexander-Arnold,LIV,DEF,56,6.16
Romelu Lukaku,MUN,FWD,108,6.09
Raul Jimenez,WOL,FWD,69,6.04
Mohamed Salah,LIV,MID,132,6.02
Wilfried Zaha,CPL,FWD,68,5.95
Andre Gray,WAT,FWD,60,5.89
Danny Ings,SOT,FWD,54,5.77
Eden Hazard,CHE,MID,109,5.73
Jamie Vardy,LEI,FWD,90,5.72
Christian Eriksen,TOT,MID,93,5.72
Nathan Redmond,SOT,MID,54,5.32
Gonzalo Higuain,CHE,FWD,90,5.23
Callum Wilson,BOR,FWD,67,5.22
Ryan Fraser,BOR,MID,63,5.16
Dominic Calvert-Lewin,EVE,FWD,54,5.14
Alisson,LIV,GK,59,5.09
Jordan Henderson,LIV,MID,53,5.08
David Silva,MCI,MID,85,5.07
Ayoze Perez,NEW,FWD,61,4.96
Ederson,MCI,GK,56,4.92
Bernardo Silva,MCI,MID,76,4.91
Andrew Robertson,LIV,DEF,68,4.91
Marko Arnautovic,WHU,FWD,67,4.86
Glenn Murray,BRI,FWD,63,4.85
Ryan Babel,FUL,MID,55,4.79
James Maddison,LEI,MID,68,4.78
Virgil van Dijk,LIV,DEF,66,4.7
Richarlison,EVE,MID,64,4.68
Pierre-Emerick Aubameyang,ARS,FWD,109,4.59
Son Heung-Min,TOT,MID,88,4.58
Marcus Rashford,MUN,FWD,74,4.56
Gerard Deulofeu,WAT,MID,56,4.55
Felipe Anderson,WHU,MID,69,4.49
Aymeric Laporte,MCI,DEF,61,4.48
Fernando Llorente,TOT,FWD,51,4.46
Gylfi Sigurdsson,EVE,MID,73,4.45
Hugo Lloris,TOT,GK,54,4.43
Mat Ryan,BRI,GK,44,4.4
Joel Matip,LIV,DEF,49,4.4
Abdoulaye Doucoure,WAT,MID,60,4.39
Diogo Jota,WOL,MID,62,4.38
Dele Alli,TOT,MID,88,4.31
Mesut Ozil,ARS,MID,79,4.28
Victor Camarasa,CAR,MID,44,4.26
Ruben Loftus-Cheek,CHE,MID,52,4.25
Kyle Walker,MCI,DEF,64,4.23
Bernardo,BRI,DEF,42,4.22
Ben Foster,WAT,GK,46,4.2
Ilkay Gundogan,MCI,MID,55,4.18
Angus Gunn,SOT,GK,43,4.17
Joshua King,BOR,FWD,65,4.13
Rui Patricio,WOL,GK,45,4.11
Naby Keita,LIV,MID,71,4.11
Jordan Pickford,EVE,GK,49,4.1
Vicente Guaita,CPL,GK,42,4.09
Martin Dubravka,NEW,GK,50,4.08
John Stones,MCI,DEF,52,4.08
Paul Pogba,MUN,MID,86,4.07
Christian Benteke,CPL,FWD,63,4.07
Roberto Pereyra,WAT,MID,59,4.04
Sergio Rico,FUL,GK,44,4.01
Harvey Barnes,LEI,MID,55,4
Oleksandr Zinchenko,MCI,DEF,47,4
David Brooks,BOR,MID,51,3.98
Kieran Trippier,TOT,DEF,60,3.98
Karlan Ahearne-Grant,HUD,FWD,50,3.98
David De Gea,MUN,GK,57,3.95
Pascal Gross,BRI,MID,67,3.94
Kepa Arrizabalaga,CHE,GK,54,3.94
Lewis Dunk,BRI,DEF,44,3.93
Leander Dendoncker,WOL,MID,43,3.92
Neil Etheridge,CAR,GK,46,3.91
Will Hughes,WAT,MID,49,3.9
Bernd Leno,ARS,GK,49,3.9
Artur Boruc,BOR,GK,41,3.83
Joao Moutinho,WOL,MID,52,3.8
